--- Page 28 ---
1| Character: 'ç' | Code: 231 | Mapped: 'ח'
2| Character: 'ë' | Code: 235 | Mapped: 'כ'
3| Character: '\n' | Code: 10 | Mapped: '\n'
4| Character: 'é' | Code: 233 | Mapped: 'י'
5| Character: 'ð' | Code: 240 | Mapped: 'נ'
6| Character: 'â' | Code: 226 | Mapped: 'ג'
7| Character: 'ì' | Code: 236 | Mapped: 'ל'
8| Character: ' ' | Code: 32 | Mapped: ' '
9| Character: 'é' | Code: 233 | Mapped: 'י'
10| Character: 'ú' | Code: 250 | Mapped: 'ת'
11| Character: 'à' | Code: 224 | Mapped: 'א'
12| Character: 'á' | Code: 225 | Mapped: 'ב'
13| Character: '\n' | Code: 10 | Mapped: '\n'
14| Character: '‰' | Code: 8240 | Mapped: 'ה'
15| Character: 'Î' | Code: 206 | Mapped: 'כ'
16| Character: 'Â' | Code: 194 | Mapped: 'ו'
17| Character: 'Ó' | Code: 211 | Mapped: 'מ'
18| Character: 'Î' | Code: 206 | Mapped: 'כ'
19| Character: ' ' | Code: 32 | Mapped: ' '
20| Character: 'È' | Code: 200 | Mapped: 'י'
21| Character: 'Ó' | Code: 211 | Mapped: 'מ'
22| Character: ' ' | Code: 32 | Mapped: ' '
23| Character: ',' | Code: 44 | Mapped: ','
24| Character: '˙' | Code: 729 | Mapped: 'ת'
25| Character: 'È' | Code: 200 | Mapped: 'י'
26| Character: '˙' | Code: 729 | Mapped: 'ת'
27| Character: 'È' | Code: 200 | Mapped: 'י'
28| Character: 'Ó' | Code: 211 | Mapped: 'מ'
29| Character: '‡' | Code: 8225 | Mapped: 'א'
30| Character: ' ' | Code: 32 | Mapped: ' '
31| Character: '˙' | Code: 729 | Mapped: 'ת'
32| Character: 'Â' | Code: 194 | Mapped: 'ו'
33| Character: '‡' | Code: 8225 | Mapped: 'א'
34| Character: 'È' | Code: 200 | Mapped: 'י'
35| Character: 'ˆ' | Code: 710 | Mapped: 'צ'
36| Character: 'Ó' | Code: 211 | Mapped: 'מ'
37| Character: ' ' | Code: 32 | Mapped: ' '
38| Character: 'Ì' | Code: 204 | Mapped: 'ם'
39| Character: '‰' | Code: 8240 | Mapped: 'ה'
40| Character: ' ' | Code: 32 | Mapped: ' '
41| Character: '‡' | Code: 8225 | Mapped: 'א'
42| Character: 'Ï' | Code: 207 | Mapped: 'ל'
43| Character: '‡' | Code: 8225 | Mapped: 'א'
44| Character: ' ' | Code: 32 | Mapped: ' '
45| Character: ',' | Code: 44 | Mapped: ','
46| Character: 'Â' | Code: 194 | Mapped: 'ו'
47| Character: '"' | Code: 34 | Mapped: '"'
48| Character: 'Á' | Code: 193 | Mapped: 'ח'
49| Character: ' ' | Code: 32 | Mapped: ' '
50| Character: 'Ì' | Code: 204 | Mapped: 'ם'
51| Character: 'È' | Code: 200 | Mapped: 'י'
52| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
53| Character: 'È' | Code: 200 | Mapped: 'י'
54| Character: 'Ú' | Code: 218 | Mapped: 'ע'
55| Character: ' ' | Code: 32 | Mapped: ' '
56| Character: '˙' | Code: 729 | Mapped: 'ת'
57| Character: 'Ê' | Code: 202 | Mapped: 'ז'
58| Character: 'È' | Code: 200 | Mapped: 'י'
59| Character: 'Á' | Code: 193 | Mapped: 'ח'
60| Character: '‡' | Code: 8225 | Mapped: 'א'
61| Character: '\n' | Code: 10 | Mapped: '\n'
62| Character: '5' | Code: 53 | Mapped: '5'
63| Character: '7' | Code: 55 | Mapped: '7'
64| Character: '\n' | Code: 10 | Mapped: '\n'
65| Character: '‡' | Code: 8225 | Mapped: 'א'
66| Character: '¯' | Code: 175 | Mapped: 'ר'
67| Character: '·' | Code: 183 | Mapped: 'ב'
68| Character: ' ' | Code: 32 | Mapped: ' '
69| Character: '˙' | Code: 729 | Mapped: 'ת'
70| Character: 'È' | Code: 200 | Mapped: 'י'
71| Character: '˘' | Code: 728 | Mapped: 'ש'
72| Character: '‡' | Code: 8225 | Mapped: 'א'
73| Character: '¯' | Code: 175 | Mapped: 'ר'
74| Character: '·' | Code: 183 | Mapped: 'ב'
75| Character: ' ' | Code: 32 | Mapped: ' '
76| Character: '\n' | Code: 10 | Mapped: '\n'
77| Character: ' ' | Code: 32 | Mapped: ' '
78| Character: 'Ì' | Code: 204 | Mapped: 'ם'
79| Character: 'È' | Code: 200 | Mapped: 'י'
80| Character: '˜' | Code: 732 | Mapped: 'ק'
81| Character: 'Ï' | Code: 207 | Mapped: 'ל'
82| Character: '‡' | Code: 8225 | Mapped: 'א'
83| Character: '\n' | Code: 10 | Mapped: '\n'
84| Character: "'" | Code: 39 | Mapped: "'"
85| Character: 'È' | Code: 200 | Mapped: 'י'
86| Character: '‰' | Code: 8240 | Mapped: 'ה'
87| Character: '˙' | Code: 729 | Mapped: 'ת'
88| Character: '˘' | Code: 728 | Mapped: 'ש'
89| Character: ' ' | Code: 32 | Mapped: ' '
90| Character: '¯' | Code: 175 | Mapped: 'ר'
91| Character: '˘' | Code: 728 | Mapped: 'ש'
92| Character: 'Ù' | Code: 217 | Mapped: 'פ'
93| Character: '‡' | Code: 8225 | Mapped: 'א'
94| Character: ' ' | Code: 32 | Mapped: ' '
95| Character: 'Ì' | Code: 204 | Mapped: 'ם'
96| Character: 'È' | Code: 200 | Mapped: 'י'
97| Character: 'Ó' | Code: 211 | Mapped: 'מ'
98| Character: 'Â' | Code: 194 | Mapped: 'ו'
99| Character: 'ˆ' | Code: 710 | Mapped: 'צ'
100| Character: 'Ó' | Code: 211 | Mapped: 'מ'
101| Character: 'ˆ' | Code: 710 | Mapped: 'צ'
102| Character: '‰' | Code: 8240 | Mapped: 'ה'
103| Character: ' ' | Code: 32 | Mapped: ' '
104| Character: '„' | Code: 8222 | Mapped: 'ד'
105| Character: 'ˆ' | Code: 710 | Mapped: 'צ'
106| Character: 'Ó' | Code: 211 | Mapped: 'מ'
107| Character: '˘' | Code: 728 | Mapped: 'ש'
108| Character: ' ' | Code: 32 | Mapped: ' '
109| Character: ',' | Code: 44 | Mapped: ','
110| Character: 'Â' | Code: 194 | Mapped: 'ו'
111| Character: '\uf8ff' | Code: 63743 | Mapped: 'נ'
112| Character: 'È' | Code: 200 | Mapped: 'י'
